NOME,AUSENCIA,MATEMATICA,PORTUGUES,BIOLOGIA,RESULTADO
Mara Elisângela Gomes,5,6.8,6.8,0.0,REPROVADO
Yeda Ivete de Araújo da Paixão,5,6.8,6.8,0.0,REPROVADO
Xilena Elisete de Novais Mazo,5,6.8,6.7,5.8,REPROVADO
Guiomar Damares Mineiro,5,6.8,6.7,5.5,REPROVADO
Raíssa Francielle de Barbosa,5,6.8,6.7,5.2,REPROVADO
Michel de Soares,5,6.8,6.7,5.0,REPROVADO
Mayra Peapoi,5,6.8,6.7,4.8,REPROVADO
Iago da Silva Júnior,5,6.8,6.6,5.9,REPROVADO
Ana Rosana Loni,5,6.8,6.6,5.0,REPROVADO
Catarina do Amazonas de Moura,5,6.8,6.4,4.9,REPROVADO
Marilúcia Mayra Ximenes Plaiz,5,6.8,6.3,5.5,REPROVADO
Núbia Rafaela Ximenes da Silva,5,6.8,6.3,5.5,REPROVADO
Saulo de Campos Gomes,5,6.8,6.3,4.8,REPROVADO
Lilian Barroso,5,6.8,6.2,5.6,REPROVADO
Yuri Albano Eltuman,5,6.8,6.2,5.4,REPROVADO
Ayrton Simão Gomes,5,6.8,6.1,5.7,REPROVADO
Elano Bernardo dos Santos,5,6.8,6.1,5.0,REPROVADO
André Ney de Souza Júnior,5,6.8,6.1,4.9,REPROVADO
Luke Ochaman de Mendonça,5,6.8,6.0,5.5,REPROVADO
Maíra de Alves Rodo,5,6.8,6.0,5.4,REPROVADO
Samanta Thushio de Fraga,5,6.8,5.9,5.0,REPROVADO
Tomáz Mozo,5,6.8,5.8,5.5,REPROVADO
Ramon de Cardozo Vreo,5,6.8,5.7,6.5,REPROVADO
Ricardo Prates Júnior,5,6.8,5.7,6.1,REPROVADO
Romildo Asdrifo Oirnov Júnior,5,6.8,5.7,5.2,REPROVADO
Gabriel Rossi Pebure,5,6.8,5.7,5.0,REPROVADO
Cleberson Emílio de Peres da Silva,5,6.8,5.7,0.0,REPROVADO
Aurélio Cícero de Ortiz Júnior,5,6.8,5.6,7.3,REPROVADO
Luigi Ângelo de Linhares Rossi Gacezzi,5,6.8,5.5,6.8,REPROVADO
Leonara Freire de Braga Baami,5,6.8,5.5,5.0,REPROVADO
Roger Jardel Ozern Imhonili da Luz,5,6.8,5.5,5.0,REPROVADO
Igor de Souza Gressyer Barroso Júnior,5,6.8,5.4,7.8,REPROVADO
Jackson Jardel da Silva de Arruda,5,6.7,7.2,5.2,REPROVADO
Pablo de Souza Júnior,5,6.7,7.1,5.6,REPROVADO
Eloá Júlia de Lemos Nunes,5,6.7,7.0,5.6,REPROVADO
Gislaine Isabel dos Pinhais,5,6.7,7.0,5.6,REPROVADO
Sâmia Kasahebi,5,6.7,7.0,5.6,REPROVADO
Adílson de Lins da Silva Júnior,5,6.7,7.0,5.2,REPROVADO
Jéssica Lígia de São Pedro Idry,5,6.7,7.0,4.8,REPROVADO
Regina Trami de Cabral Thirnbe,5,6.7,7.0,4.5,REPROVADO
Kim Silvair Cosuan de Tavares,5,6.7,6.9,5.6,REPROVADO
Mike Willian Mercado,5,6.7,6.8,5.6,REPROVADO
Ali Daniel Klein,5,6.7,6.8,5.3,REPROVADO
Valéria Diana dos Santos,5,6.7,6.8,5.3,REPROVADO
Vívian Lígia do Maranhão Azuntovic,5,6.7,6.8,5.3,REPROVADO
Francisco Marlon de Lemes Ornyson Júnior,5,6.7,6.7,5.8,REPROVADO
Maria Otávia Yamirnsiman de Bueno,5,6.7,6.7,5.7,REPROVADO
Violeta Andressa de Ferraz Tizi,5,6.7,6.7,5.1,REPROVADO
Graziele Duque,5,6.7,6.6,5.3,REPROVADO
Rebeca Gomes de Vargas,5,6.7,6.6,4.8,REPROVADO
Marcelo Israel Ouamfa Syke,5,6.7,6.5,5.9,REPROVADO
Alex Pimenta de Paranhos,5,6.7,6.5,5.5,REPROVADO
Quênia Evelyn Portugal Bodemu,5,6.7,6.5,5.5,REPROVADO
Quico Fabrício Possanivic,5,6.7,6.5,5.2,REPROVADO
Toninho de Freitas Barroso,5,6.7,6.5,5.2,REPROVADO
Marilúcia Pimenta,5,6.7,6.5,4.8,REPROVADO
Osvaldo da Silva,5,6.7,6.4,5.9,REPROVADO
Áureo Giovanni de Azevedo,5,6.7,6.4,5.8,REPROVADO
Ramon Emílio de Pereira,5,6.7,6.4,5.2,REPROVADO
Aécio Luke de Gusmões Vuwo,5,6.7,6.3,5.7,REPROVADO
Mariano Borba,5,6.7,6.3,4.6,REPROVADO
Albino Nicolas da Silva de Souza Júnior,5,6.7,6.2,5.2,REPROVADO
Aurélio Ricardo Omasza,5,6.7,6.2,4.8,REPROVADO
Walter Sandro da Graça,5,6.7,6.2,0.0,REPROVADO
Ayrton Roberto Ocro,5,6.7,6.1,5.0,REPROVADO
Suzana Otávia Jodio,5,6.7,6.1,5.0,REPROVADO
Anakin Cleberson da Luz,5,6.7,6.0,5.9,REPROVADO
Fabíola Maria de Mendonça Nebumo Gomes,5,6.7,6.0,5.0,REPROVADO
Jeferson Augusto Tosimman Adanabu,5,6.7,5.9,6.7,REPROVADO
Marlene Gislaine de Jesus,5,6.7,5.9,6.4,REPROVADO
Adrielle de Albuquerque Iame Rasoda,5,6.7,5.9,5.9,REPROVADO
Ana Maria de Ferreira Keoto,5,6.7,5.9,5.8,REPROVADO
Itamara de Barbosa,5,6.7,5.9,5.4,REPROVADO
Felícia Lígia de Chaves,5,6.7,5.9,4.9,REPROVADO
Jenny Valéria Juzião de Brandão dos Santos,5,6.7,5.8,8.5,REPROVADO
Cristiano Ezuflo de Castro,5,6.7,5.8,8.0,REPROVADO
Suzy Moreno,5,6.7,5.8,7.6,REPROVADO
Hellen Itamara Kruganaman Seixas,5,6.7,5.7,6.0,REPROVADO
Ana Jardim,5,6.7,5.7,5.5,REPROVADO
Albina de Paranhos Igreja do Maranhão,5,6.7,5.5,6.0,REPROVADO
Tainá Cíntia Milani Amwirn,5,6.7,5.4,7.1,REPROVADO
Vinícius Mourão Sifa,5,6.7,5.3,4.7,REPROVADO
Vânia de Pacheco,5,6.7,5.2,5.7,REPROVADO
Brenda Gomes,5,6.7,5.2,0.0,REPROVADO
Isabela de Ortega dos Santos,5,6.7,4.9,7.3,REPROVADO
Adônis dos Santos de Vasconcelos,5,6.7,4.6,5.4,REPROVADO
Eustáquio Maurício Lopes Vaornivic,5,6.7,4.5,0.0,REPROVADO
Dilma Sílvia Comtlo,5,6.6,7.4,4.8,REPROVADO
Leni Ana Portugal,5,6.6,7.3,5.9,REPROVADO
Anna Dalrol Penedo,5,6.6,7.1,5.5,REPROVADO
Juliana Francielle Afedan,5,6.6,7.0,5.9,REPROVADO
Ciro Usonan Amaoson Trevisan,5,6.6,7.0,5.8,REPROVADO
Janete de Moreira Biyaade Werner,5,6.6,7.0,4.6,REPROVADO
Isac Aeintemã Typofaman,5,6.6,6.9,5.8,REPROVADO
Joaquim da Luz Pomyn Júnior,5,6.6,6.9,5.2,REPROVADO
Talita Rodrigues de Pereira Mopo,5,6.6,6.8,5.7,REPROVADO
Quênia Valquíria Gridi de Campos,5,6.6,6.8,5.6,REPROVADO
Janete de Souza,5,6.6,6.8,5.5,REPROVADO
Hércules Nicolas de Mendonça Aplaymson Toro,5,6.6,6.8,5.3,REPROVADO
José Gilmar de Novais,5,6.6,6.8,5.3,REPROVADO
Rosa Losorne Mizehe de Medeiros,5,6.6,6.8,5.3,REPROVADO
Albano Pinhão,5,6.6,6.8,4.9,REPROVADO
Ariana Cícera Urnlovic Fortes,5,6.6,6.7,5.8,REPROVADO
Kelly Lúcia da Lira Dutra,5,6.6,6.7,5.4,REPROVADO
Nair de Uchôa Arnvrai,5,6.6,6.7,5.3,REPROVADO
Juliano de Sales da Cunha Canesa,5,6.6,6.7,4.9,REPROVADO
Inácio Joel Emis,5,6.6,6.7,4.6,REPROVADO
Leonara Ana Woki,5,6.6,6.6,5.7,REPROVADO
Bianca Danielle de Moreira Pamiz,5,6.6,6.6,5.6,REPROVADO
Luzimara Raquel Câmara,5,6.6,6.5,5.2,REPROVADO
Maria Jedamgriu Yazo,5,6.6,6.5,5.2,REPROVADO
Micael Seixas da Silva Neto,5,6.6,6.5,0.0,REPROVADO
Vitória Nunes de Andrade Terceiro,5,6.6,6.5,0.0,REPROVADO
Suely Melissa Gomes Trettu,5,6.6,6.4,5.4,REPROVADO
Raquel Liane da Silva,5,6.6,6.4,5.1,REPROVADO
Damião Eduardo de Assunção,5,6.6,6.4,4.9,REPROVADO
Manuela da Silva,5,6.6,6.3,5.0,REPROVADO
Kauê Giai de Jesus Lolyl,5,6.6,6.2,4.9,REPROVADO
Gilberto de Cardoso,5,6.6,6.2,4.8,REPROVADO
Heron da Paraíba de Souza,5,6.6,6.1,5.1,REPROVADO
Camila Elisete Milani de Souza,5,6.6,6.1,4.9,REPROVADO
Bete Aparecida Chimiguge,5,6.6,6.0,5.5,REPROVADO
Denise da Silva,5,6.6,6.0,5.5,REPROVADO
Plínio da Cunha,5,6.6,6.0,5.0,REPROVADO
Denise Lígia de São Pedro Avoze,5,6.6,6.0,4.7,REPROVADO
Tina Zozier Milani,5,6.6,5.9,7.5,REPROVADO
Valeska Karin Uretoz,5,6.6,5.9,5.0,REPROVADO
Heitor Mineiro,5,6.6,5.9,4.7,REPROVADO
Tânia Deno,5,6.6,5.9,0.0,REPROVADO
Gilmara Clarice de Magalhães da Conceição,5,6.6,5.8,5.0,REPROVADO
Adriana Ernsazão,5,6.6,5.7,5.8,REPROVADO
Felícia Guiomar Sanches de Figueira,5,6.6,5.7,5.6,REPROVADO
Cibele da Encarnação,5,6.6,5.7,5.5,REPROVADO
Zilda Zulmira Ymal,5,6.6,5.7,5.2,REPROVADO
Jardel Rame,5,6.6,5.7,5.0,REPROVADO
Lúcio Numeol,5,6.6,5.7,5.0,REPROVADO
Marcela de Salgado,5,6.6,5.5,5.7,REPROVADO
Sandro Otaviano de Lacerda Tuferejirn Júnior,5,6.6,5.5,5.1,REPROVADO
Xerxes Lopes Cavalcante Júnior,5,6.6,5.5,5.1,REPROVADO
Isabela de Osório Oneson Ernirro,5,6.6,5.4,6.8,REPROVADO
Michele Jéssica Naves,5,6.6,5.4,6.3,REPROVADO
Ezequiel Wagner de Barboza,5,6.6,5.4,6.1,REPROVADO
Ricardo Hewa Rupuda,5,6.6,5.2,6.5,REPROVADO
Laís de Barbosa,5,6.6,5.2,6.0,REPROVADO
Shirley Berenice da Silva de Mello,5,6.6,5.0,7.6,REPROVADO
Michel Eustáquio de Alencar Eque,5,6.6,4.8,5.4,REPROVADO
Edilene Oila de Antunes,5,6.6,4.7,5.7,REPROVADO
Laura Branco Vunnião,5,6.6,4.7,5.6,REPROVADO
Samanta Arilda de Teixeira,5,6.6,4.7,0.0,REPROVADO
Humberto de Madureira,5,5.9,7.3,7.1,REPROVADO
Elói Branco Coutinho,5,5.9,7.1,6.0,REPROVADO
Marli Dagete,5,5.9,6.9,4.9,REPROVADO
Ismael Quirino de Aguiar Iedu,5,5.9,6.7,5.9,REPROVADO
Jean de Mendonça Júnior,5,5.9,6.7,5.7,REPROVADO
Teresa da Silva,5,5.9,6.7,5.4,REPROVADO
Humberto Osório de Meireles,5,5.9,6.7,5.0,REPROVADO
Tatiane Tânia de Paula,5,5.9,6.5,6.7,REPROVADO
Cíntia Tina Nuyorufu,5,5.9,6.5,6.5,REPROVADO
Bruno Coutinho do Rio,5,5.9,6.5,5.1,REPROVADO
Márcio Nivaldo de Souza Iociman,5,5.9,6.3,5.9,REPROVADO
Graziele Hellen Onbeman,5,5.9,6.3,5.5,REPROVADO
Gisele Vitória Bepoão Truievic,5,5.9,6.3,5.1,REPROVADO
Benedito Robson da Silva Bumgo,5,5.9,6.3,4.8,REPROVADO
Manoel Odyoneov Goiov,5,5.9,6.2,5.3,REPROVADO
Jeniffer Hilda de Matos,5,5.9,6.2,5.0,REPROVADO
Rebeca de Alcântara,5,5.9,6.2,4.7,REPROVADO
Helder Klein,5,5.9,6.1,5.0,REPROVADO
Xerxes Arntoã,5,5.9,6.1,0.0,REPROVADO
Alan Nelson de Farias,5,5.9,6.0,6.5,REPROVADO
Tatiane Samanta de Silveira Borba,5,5.9,6.0,6.5,REPROVADO
Isac de Ortiz Barroso Júnior,5,5.9,6.0,5.3,REPROVADO
Joaquim David Degienão Terceiro,5,5.9,5.9,6.0,REPROVADO
Maria Bianca de Alves da Silva,5,5.9,5.9,5.6,REPROVADO
Charles Ribeiro,5,5.9,5.9,5.4,REPROVADO
Humberto dos Santos Iaman,5,5.9,5.9,5.1,REPROVADO
Ana Ximenes Cesazgiov Murepa,5,5.9,5.9,5.0,REPROVADO
Helder de Fraga Mercado,5,5.9,5.9,4.6,REPROVADO
Camilo Simão da Silva Ecueov,5,5.9,5.9,0.0,REPROVADO
Sérgio Mário Gomes de Ramos,5,5.9,5.8,5.4,REPROVADO
Fernanda de Arantes,5,5.9,5.8,0.0,REPROVADO
Marlene Tuseson,5,5.9,5.7,5.6,REPROVADO
Lina Arnizsilyner Oihonã,5,5.9,5.7,5.6,REPROVADO
Nair Marinho do Prado,5,5.9,5.7,5.6,REPROVADO
Paula Rute Miseme,5,5.9,5.7,5.3,REPROVADO
Robson de Bragança Frias,5,5.9,5.7,5.3,REPROVADO
Manuel Francisco de Lemos,5,5.9,5.7,5.2,REPROVADO
Paula Zulmira Klein,5,5.9,5.7,4.8,REPROVADO
Celso de Matos Lopes,5,5.9,5.7,4.6,REPROVADO
Ivone Zaku,5,5.9,5.7,0.0,REPROVADO
Valquíria Carolina Ealavic de Souza,5,5.9,5.7,0.0,REPROVADO
Elias Torres Osuz,5,5.9,5.6,6.0,REPROVADO
Wilson Júlio de Alencar Emri,5,5.9,5.6,5.9,REPROVADO
Elisângela Goyarudo Noni,5,5.9,5.6,5.7,REPROVADO
Jairo de Barbosa,5,5.9,5.6,5.1,REPROVADO
Andréia de Fernandes,5,5.9,5.6,5.0,REPROVADO
Hellen Irna,5,5.9,5.6,5.0,REPROVADO
Patrícia Hellen de São Pedro da Paixão,5,5.9,5.6,4.5,REPROVADO
José Rosatto da Costa,5,5.9,5.5,7.7,REPROVADO
Paula Schneider,5,5.9,5.5,5.8,REPROVADO
Leonara Branco,5,5.9,5.5,5.4,REPROVADO
Elisângela de Bragança,5,5.9,5.5,5.3,REPROVADO
Breno de Araújo,5,5.9,5.5,5.1,REPROVADO
Ana Necemson,5,5.9,5.4,7.1,REPROVADO
Daniel de Cardoso da Rocha,5,5.9,5.4,6.2,REPROVADO
Cristiano Maurício Souto de Sá,5,5.9,5.4,6.0,REPROVADO
Hamilton Portugal de Vargas Cavalcante,5,5.9,5.4,5.9,REPROVADO
Leni de Espanha,5,5.9,5.4,5.7,REPROVADO
Maurício Emoão,5,5.9,5.4,5.6,REPROVADO
Edson Jalrraman Barroso,5,5.9,5.4,5.5,REPROVADO
Albina da Paixão dos Santos Bodochi,5,5.9,5.4,5.3,REPROVADO
Luke Ifra de Barbosa,5,5.9,5.4,4.9,REPROVADO
Núbia Gesoman Isozan da Silva,5,5.9,5.4,0.0,REPROVADO
Eliane de Lacerda Cavalcante,5,5.9,5.3,6.3,REPROVADO
Thaís Caison Moreno de Leite,5,5.9,5.3,5.9,REPROVADO
Adrielle Brasil Aiochier,5,5.9,5.3,5.3,REPROVADO
Sheila Xilena Ximenes Isdu,5,5.9,5.3,5.0,REPROVADO
Benjamin Eliel Gomes,5,5.9,5.2,7.5,REPROVADO
Flaviana Carla Schmidt dos Santos,5,5.9,5.2,6.2,REPROVADO
Samanta Sônia de Fraga do Espírito Santo Guerra,5,5.9,5.2,6.0,REPROVADO
Emanoel da Silva Portugal,5,5.9,5.2,5.4,REPROVADO
Fernando Arnaldo Shilsodoã,5,5.9,5.1,6.3,REPROVADO
Isac Ali Schneider de Uchôa,5,5.9,5.1,5.0,REPROVADO
Cecília Elisângela de Souza,5,5.9,5.1,5.0,REPROVADO
Lígia Bianca Aubo,5,5.9,5.1,4.7,REPROVADO
Leonardo de Campos,5,5.9,5.0,6.2,REPROVADO
Adriana Rosimeire Ture da Silva Leamã,5,5.9,5.0,5.3,REPROVADO
Geraldo Milton Teles de Fraga Jibakofu Júnior,5,5.9,5.0,5.1,REPROVADO
Carolina Jéssica Dutra,5,5.9,5.0,0.0,REPROVADO
Josiel Humberto Royi Chieov,5,5.9,5.0,0.0,REPROVADO
Carlos Ernefixos de Uchôa,5,5.9,4.9,4.8,REPROVADO
Hamilton da Silva de Souza,5,5.9,4.8,6.4,REPROVADO
Bartolomeu Ozuseprel de Tozetto Neto,5,5.9,4.8,5.5,REPROVADO
Adônis Igreja,5,5.9,4.8,5.2,REPROVADO
Luigi Anakin de Malta,5,5.9,4.8,4.7,REPROVADO
Hilda Fontes da Silva,5,5.9,4.8,0.0,REPROVADO
Edinaldo Pedro Trobezzean,5,5.9,4.7,5.8,REPROVADO
Geraldo Cristiano Tristão Valverde,5,5.9,4.7,5.4,REPROVADO
Kiara Melissa Jopis,5,5.9,4.7,5.4,REPROVADO
Luigi Saulo Ioer,5,5.9,4.7,5.2,REPROVADO
Helder Matheus Lopes,5,5.9,4.7,4.9,REPROVADO
Chico Ramon Marinho,5,5.9,4.6,5.7,REPROVADO
Jéssica Magali de Souza,5,5.9,4.6,4.8,REPROVADO
Reinaldo Adavic de Oliveira,5,5.9,4.5,5.7,REPROVADO
Roberval Jangada,5,5.9,4.5,5.3,REPROVADO
Olívia Yluian Tiael Aoan,5,5.9,4.3,4.9,REPROVADO
Janete Jandira Motsu Eyapri,5,5.9,4.3,4.9,REPROVADO
Diego Chirohe Shirida,5,5.9,4.3,4.6,REPROVADO
Kim Raul dos Santos Gomes de Gusmão,5,5.9,4.1,5.7,REPROVADO
Oliver Franco Neto,5,5.8,6.9,5.1,REPROVADO
Inácio Jean Eaman,5,5.8,6.8,7.2,REPROVADO
Zuleide Nanapu,5,5.8,6.8,6.2,REPROVADO
Manoel Raul de Meireles da Silva,5,5.8,6.7,5.1,REPROVADO
Alex Jairo Daeha Júnior,5,5.8,6.6,6.2,REPROVADO
Mário Jaziel Gomes de Angola Tulu,5,5.8,6.6,5.9,REPROVADO
Nilton Luiz Maciel,5,5.8,6.6,5.6,REPROVADO
Yolanda Velma Ornvao,5,5.8,6.6,5.3,REPROVADO
Kelly Ponua,5,5.8,6.6,5.2,REPROVADO
Jussara Kátia Vlauan,5,5.8,6.5,5.0,REPROVADO
Thaís de Azevedo,5,5.8,6.4,5.8,REPROVADO
Elisângela Roberta Usrouzaov,5,5.8,6.3,5.8,REPROVADO
Clotilde Amália Mineiro,5,5.8,6.3,5.3,REPROVADO
Quico Emanoel Moal Mugawo,5,5.8,6.2,4.9,REPROVADO
Leni do Paraná,5,5.8,6.2,4.6,REPROVADO
Arnaldo Laércio de Paula Fortes do Paraná,5,5.8,6.1,6.0,REPROVADO
Armando Gutierrez,5,5.8,6.1,5.7,REPROVADO
Luís Guilherme Souto Yizman,5,5.8,6.1,5.5,REPROVADO
Reinaldo Oséas de França,5,5.8,6.1,5.2,REPROVADO
Jairo Jipie Júnior,5,5.8,6.0,9.0,REPROVADO
Geraldo Rutsu de Pereira Ieusovic,5,5.8,6.0,7.0,REPROVADO
Tábata Ingrid de Oliveira Franco,5,5.8,6.0,5.7,REPROVADO
Isaías Beto Vofica,5,5.8,6.0,5.4,REPROVADO
Hellen de Bueno Vietrime,5,5.8,6.0,4.7,REPROVADO
Robert Edson da Encarnação Frias,5,5.8,5.9,6.8,REPROVADO
Giuseppe de Siqueira Medo,5,5.8,5.9,5.8,REPROVADO
Cármen Dina Pimenta de Paiva,5,5.8,5.9,5.7,REPROVADO
Selena Mônica Grieaer,5,5.8,5.9,5.2,REPROVADO
Yuri Zetasafu,5,5.8,5.9,5.1,REPROVADO
Jânio Milton Rotetemã,5,5.8,5.9,5.0,REPROVADO
Eleonora de Álvares,5,5.8,5.9,4.8,REPROVADO
Gabrielle Elisete de Souza,5,5.8,5.9,4.8,REPROVADO
Alan de Pereira Tobaoinman do Rio,5,5.8,5.9,0.0,REPROVADO
Yasmin de Bezerra,5,5.8,5.8,7.0,REPROVADO
Patrick David Schneider de Torquato Júnior,5,5.8,5.8,6.4,REPROVADO
Selma Woyuiri,5,5.8,5.8,5.2,REPROVADO
Andréia Fleces,5,5.8,5.8,5.2,REPROVADO
Everaldo Amarildo Pimenta de Souza Coutinho,5,5.8,5.8,4.8,REPROVADO
José Enremuer,5,5.8,5.7,7.5,REPROVADO
Otávio Everaldo de Azevedo,5,5.8,5.7,5.0,REPROVADO
Vanessa Marlene Góis de Vasconcelos,5,5.8,5.7,4.9,REPROVADO
Isaiane Aomão,5,5.8,5.6,7.1,REPROVADO
Matheus Renato de Pereira Marinho Guedes Júnior,5,5.8,5.6,6.4,REPROVADO
Cristiane de Alencar Uzbaninurnson,5,5.8,5.6,6.0,REPROVADO
Manuel de Ferreira,5,5.8,5.6,5.2,REPROVADO
Flávio André Pimenta de Lacerda Trevisan,5,5.8,5.6,4.9,REPROVADO
Michel Israel Omvon Chioulão,5,5.8,5.6,4.8,REPROVADO
Artur Ângelo de Vargas,5,5.8,5.5,6.8,REPROVADO
Tainara Mesel de Pereira,5,5.8,5.5,5.5,REPROVADO
Clarice Raquel Tleblo,5,5.8,5.5,4.6,REPROVADO
Altino Ângelo do Amaral de Oliveira,5,5.8,5.4,5.6,REPROVADO
Everton Cléber Torres,5,5.8,5.4,5.6,REPROVADO
Túlio Fernando de Pacheco,5,5.8,5.4,4.9,REPROVADO
Avelino Alex dos Santos,5,5.8,5.4,0.0,REPROVADO
Nair Valdirene Cesoman,5,5.8,5.3,5.6,REPROVADO
Sâmia de Ayres,5,5.8,5.3,4.8,REPROVADO
Nilo Branco Franco,5,5.8,5.2,5.2,REPROVADO
Anderson Gomes dos Santos,5,5.8,5.2,5.1,REPROVADO
Luiza Telma Shiowa Buba Terceiro,5,5.8,5.2,5.0,REPROVADO
Reginaldo Soshiko Imizaov,5,5.8,5.2,4.8,REPROVADO
Taís Gilmara dos Santos,5,5.8,5.1,5.8,REPROVADO
Joel Gain d'Ávila,5,5.8,5.1,5.7,REPROVADO
João Helder Bahia de Trindade Júnior,5,5.8,5.1,5.6,REPROVADO
Alex Crovo,5,5.8,5.1,5.2,REPROVADO
Brenda Taís de Britto Valverde Moreno,5,5.8,5.1,4.7,REPROVADO
Jesus Martinez,5,5.8,5.1,4.7,REPROVADO
Eduarda Pires,5,5.8,5.0,6.0,REPROVADO
Luzia de Toledo,5,5.8,5.0,5.9,REPROVADO
Juliana Góis Frai de São Pedro,5,5.8,5.0,0.0,REPROVADO
Mirela do Nascimento,5,5.8,4.9,4.6,REPROVADO
Paula Clotha,5,5.8,4.8,6.6,REPROVADO
Bento Abílio Mendes Moreno,5,5.8,4.7,4.6,REPROVADO
Marciane Suzy de Miranda,5,5.8,4.6,7.4,REPROVADO
Gustavo de Brandão,5,5.8,4.5,5.1,REPROVADO
Aparecida Mourão,5,5.8,4.4,6.2,REPROVADO
Felipe Rangel,5,5.8,4.4,6.0,REPROVADO
Xerxes Maciel do Nascimento,5,5.8,4.4,4.9,REPROVADO
Fabiano Valente,5,5.8,4.4,0.0,REPROVADO
Violeta Subone,5,5.8,4.3,6.5,REPROVADO
Joel Werner Yarada,5,5.7,6.8,5.5,REPROVADO
Nathan Valverde,5,5.7,6.7,6.3,REPROVADO
Amanda Isabel Shiheme Terceiro,5,5.7,6.6,6.5,REPROVADO
Cleuza Ichipa,5,5.7,6.4,6.7,REPROVADO
Carolina Yabite,5,5.7,6.4,5.9,REPROVADO
Gabrielle Janaína de Madureira,5,5.7,6.4,0.0,REPROVADO
Fabíola Elisângela de Souza,5,5.7,6.3,5.2,REPROVADO
Lígia de Cardoso,5,5.7,6.3,5.2,REPROVADO
Quitéria Teresa de Souza Yivic,5,5.7,6.2,6.8,REPROVADO
Wellington Leonardo Ebenom,5,5.7,6.2,5.7,REPROVADO
Cleberson da Silva Valente,5,5.7,6.2,5.2,REPROVADO
Tomáz Prates,5,5.7,6.1,6.8,REPROVADO
Maria Tina do Amaral,5,5.7,6.1,5.5,REPROVADO
Romildo Severino Teromazu,5,5.7,6.0,5.5,REPROVADO
Hércules Gabriel Mopraorne Rossi,5,5.7,6.0,5.4,REPROVADO
Felícia Rossi,5,5.7,6.0,5.3,REPROVADO
Gabriela de Azevedo,5,5.7,6.0,5.1,REPROVADO
Janaína Lili Odriov de Fraga,5,5.7,6.0,0.0,REPROVADO
Walderice Birnlavic,5,5.7,5.9,6.3,REPROVADO
Amanda Selma Oize,5,5.7,5.9,5.9,REPROVADO
Simão Noernvic Roiri,5,5.7,5.9,5.0,REPROVADO
Bianca Damares de Palhares Nilo,5,5.7,5.9,4.9,REPROVADO
Guiomar de Malta Bipo,5,5.7,5.8,5.4,REPROVADO
Marlon Leo de Assis,5,5.7,5.8,5.2,REPROVADO
Daniel Sebastião da Silva Mokahe Penedo,5,5.7,5.8,0.0,REPROVADO
Martin Batista Syason,5,5.7,5.7,5.8,REPROVADO
Eliel Klive,5,5.7,5.7,4.9,REPROVADO
Jean Mário de Paula,5,5.7,5.6,6.0,REPROVADO
Josiane Cibele Ceyrnin,5,5.7,5.6,5.8,REPROVADO
Barnabé Juan de Fernandes,5,5.7,5.5,5.9,REPROVADO
Luiza Júlia Togebi Eanasa,5,5.7,5.5,5.4,REPROVADO
Ângelo Wally Tealson dos Santos,5,5.7,5.5,5.1,REPROVADO
Plínio Nathan Paim,5,5.7,5.5,0.0,REPROVADO
Ramon Toninho de Oliveira,5,5.7,5.4,6.8,REPROVADO
Gislaine Gomes de Oliveira,5,5.7,5.4,5.9,REPROVADO
Kátia de Sampaio,5,5.7,5.4,5.6,REPROVADO
Ediane de Sá Urumvic Mercado,5,5.7,5.4,5.3,REPROVADO
Selena Thilian,5,5.7,5.4,5.2,REPROVADO
Eliane Gisele de Palhares Ornthamoje,5,5.7,5.3,6.3,REPROVADO
Eric Tomáz Sobane,5,5.7,5.3,4.9,REPROVADO
Jonathas dos Santos,5,5.7,5.2,6.3,REPROVADO
Ciro Tomáz de Souza Rodrigues,5,5.7,5.2,6.2,REPROVADO
Amélia Larissa Weiss do Rio Câmara,5,5.7,5.2,5.2,REPROVADO
Cíntia Felícia da Luz,5,5.7,5.2,5.1,REPROVADO
Breno Edinaldo Zalvesan,5,5.7,5.1,5.3,REPROVADO
Ali de Miranda da Cunha,5,5.7,5.1,5.0,REPROVADO
Rafaela Eunice Pigani,5,5.7,5.1,0.0,REPROVADO
Robert Vitor de São Pedro,5,5.7,5.1,0.0,REPROVADO
Elói Jardel Orne,5,5.7,5.0,7.0,REPROVADO
Carlos Giji de Oliveira Muce,5,5.7,5.0,6.5,REPROVADO
Kauê Jonas de Teixeira Babasui,5,5.7,5.0,6.1,REPROVADO
Tábata Clara de Matos,5,5.7,5.0,5.3,REPROVADO
Lara Sara Rosa,5,5.7,4.9,5.0,REPROVADO
Quênia Ebaz,5,5.7,4.9,5.0,REPROVADO
Bianca Josiane de Oliveira Coutinho,5,5.7,4.8,6.8,REPROVADO
Anderson Eduardo de Britto Rangel Júnior,5,5.7,4.8,5.6,REPROVADO
Osório da Conceição Moui,5,5.7,4.7,5.5,REPROVADO
Miguel Yuri Ornrernoman Kretifecli,5,5.7,4.7,5.2,REPROVADO
Marcela Neruni Bubiho,5,5.7,4.7,4.9,REPROVADO
Larissa Ingrid dos Reis,5,5.7,4.6,5.7,REPROVADO
Tainara Nagoetriov,5,5.7,4.6,4.8,REPROVADO
Uribe d'Ávila de Bragança,5,5.7,4.5,4.8,REPROVADO
Mirela Sara Genahehi,5,5.7,4.5,0.0,REPROVADO
Luara Guedes,5,5.7,4.4,6.4,REPROVADO
